start_date,end_date,duration_hours,duration_minutes,war_id,faction_id,faction_name,won,score,total_war_score,attacks,rank_before,rank_after,member_count,participating_member_count,reward_respect,reward_points,Small Arms Cache,Armor Cache,Melee Cache,Medium Arms Cache,Heavy Arms Cache,forfeit,score_pct_of_war_total,total_wins,total_wars,rank_number_before,rank_number_after
2025-07-11 14:00:00,2025-07-15 02:00:57,84.02,5041.0,28013,33241,Nub Navy,False,3816,14668,459,Diamond I,Diamond,97,46,10744,0,2.0,4.0,3.0,3.0,1.0,False,0.26,0,1,18,17
2025-07-11 14:00:00,2025-07-15 02:00:57,84.02,5041.0,28013,41929,Valor,True,10852,14668,796,Diamond I,Diamond II,100,27,25520,0,5.0,11.0,2.0,11.0,1.0,False,0.74,2,2,18,19
2024-11-08 20:00:00,2024-11-11 23:00:55,75.02,4501.0,19075,50356,Colombo Crime Family,False,2753,7050,614,Silver I,Silver,19,12,1443,0,0.0,0.0,2.0,0.0,0.0,False,0.39,0,1,6,5
2024-11-08 20:00:00,2024-11-11 23:00:55,75.02,4501.0,19075,50568,Toxic Spawn,True,4297,7050,827,Silver I,Silver II,15,11,2293,757,0.0,1.0,0.0,1.0,0.0,False,0.61,1,1,6,7
2025-02-01 18:00:00,2025-02-03 11:35:09,41.59,2495.0,21794,41777,The Swarm,False,610,4177,92,Gold II,Gold I,11,8,763,0,2.0,0.0,0.0,0.0,0.0,False,0.146,0,1,11,10
2025-02-01 18:00:00,2025-02-03 11:35:09,41.59,2495.0,21794,47600,Valhalla Warriors,True,3567,4177,615,Gold I,Gold II,13,11,3117,1029,2.0,0.0,2.0,1.0,0.0,False,0.854,2,2,10,11
2025-06-28 20:00:00,2025-07-01 01:18:15,53.3,3198.0,27260,51708,Tribunal Global Network,False,4061,11203,360,Silver II,Silver I,36,23,2419,0,0.0,2.0,0.0,0.0,0.0,False,0.362,0,1,7,6
2025-06-28 20:00:00,2025-07-01 01:18:15,53.3,3198.0,27260,52787,Bliss,True,7142,11203,1064,Silver I,Silver II,25,23,3377,0,2.0,1.0,1.0,1.0,0.0,False,0.638,2,2,6,7
2024-11-16 22:00:00,2024-11-19 04:56:06,54.94,3296.0,19276,50642,midnight claw,True,4537,7278,783,Bronze II,Bronze III,23,19,2528,0,2.0,1.0,1.0,0.0,0.0,False,0.623,2,3,3,4
2024-11-16 22:00:00,2024-11-19 04:56:06,54.94,3296.0,19276,50723,Shaggers,False,2741,7278,656,Bronze I,Bronze,29,21,1140,0,1.0,0.0,1.0,0.0,0.0,False,0.377,1,4,2,1
2025-05-23 13:00:00,2025-05-26 23:00:55,82.02,4921.0,25942,10184,Iconoclast,True,6503,9539,731,Platinum I,Platinum II,36,22,8177,0,3.0,2.0,4.0,3.0,0.0,False,0.682,2,4,14,15
2025-05-23 13:00:00,2025-05-26 23:00:55,82.02,4921.0,25942,41067,Houdini,False,3036,9539,341,Platinum,Gold III,45,26,4884,0,1.0,1.0,1.0,3.0,0.0,False,0.318,0,1,13,12
